,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
137,Bożena,f,pl,Bożeny,Bożen,Bożenom,Bożeny,Bożenami,Bożenach,Bożeny,Bożeny,Bożen,Bożenom,Bożeny,Bożenami,Bożenach,Bożeny
138,Bożenna,f,s,Bożenna,Bożenny,Bożennie,Bożennę,Bożenną,Bożennie,Bożenno,Bożenna,Bożenny,Bożennie,Bożennę,Bożenną,Bożennie,Bożenno
139,Bożenna,f,pl,Bożenny,Bożenn,Bożennom,Bożenny,Bożennami,Bożennach,Bożenny,Bożenny,Bożenn,Bożennom,Bożenny,Bożennami,Bożennach,Bożenny
140,Bożysława,f,s,Bożysława,Bożysławy,Bożysławie,Bożysławę,Bożysławą,Bożysławie,Bożysławo,Bożysława,Bożysławy,Bożysławie,Bożysławę,Bożysławą,Bożysławie,Bożysławo
141,Brenda,f,s,Brenda,Brendy,Brendzie,Brendę,Brendą,Brendzie,Brendo,Brenda,Brendy,Brendzie,Brendę,Brendą,Brendzie,Brendo
142,Bronisława,f,s,Bronisława,Bronisławy,Bronisławie,Bronisławę,Bronisławą,Bronisławie,Bronisławo,Bronisława,Bronisławy,Bronisławie,Bronisławę,Bronisławą,Bronisławie,Bronisławo
143,Bronisława,f,pl,Bronisławy,Bronisław,Bronisławom,Bronisławy,Bronisławami,Bronisławach,Bronisławy,Bronisławy,Bronisław,Bronisławom,Bronisławy,Bronisławami,Bronisławach,Bronisławy
144,Brunhilda,f,s,Brunhilda,Brunhildy,Brunhildzie,Brunhildę,Brunhildą,Brunhildzie,Brunhildo,Brunhilda,Brunhildy,Brunhildzie,Brunhildę,Brunhildą,Brunhildzie,Brunhildo
145,Brunhilda,f,pl,Brunhildy,Brunhild,Brunhildom,Brunhildy,Brunhildami,Brunhildach,Brunhildy,Brunhildy,Brunhild,Brunhildom,Brunhildy,Brunhildami,Brunhildach,Brunhildy
146,Brygida,f,s,Brygida,Brygidy,Brygidzie,Brygidę,Brygidą,Brygidzie,Brygido,Brygida,Brygidy,Brygidzie,Brygidę,Brygidą,Brygidzie,Brygido
147,Brygida,f,pl,Brygidy,Brygid,Brygidom,Brygidy,Brygidami,Brygidach,Brygidy,Brygidy,Brygid,Brygidom,Brygidy,Brygidami,Brygidach,Brygidy
148,Cecylia,f,s,Cecylia,Cecylii,Cecylii,Cecylię,Cecylią,Cecylii,Cecylio,Cecylia,Cecylii,Cecylii,Cecylię,Cecylią,Cecylii,Cecylio
149,Cecylia,f,pl,Cecylie,Cecylii,Cecyliom,Cecylie,Cecyliami,Cecyliach,Cecylie,Cecylie,Cecylii,Cecyliom,Cecylie,Cecyliami,Cecyliach,Cecylie
150,Celestia,f,s,Celestia,Celestii,Celestii,Celestię,Celestią,Celestii,Celestio,Celestia,Celestii,Celestii,Celestię,Celestią,Celestii,Celestio
151,Celestyna,f,s,Celestyna,Celestyny,Celestynie,Celestynę,Celestyną,Celestynie,Celestyno,Celestyna,Celestyny,Celestynie,Celestynę,Celestyną,Celestynie,Celestyno
152,Celina,f,s,Celina,Celiny,Celinie,Celinę,Celiną,Celinie,Celino,Celina,Celiny,Celinie,Celinę,Celiną,Celinie,Celino
153,Celina,f,pl,Celiny,Celin,Celinom,Celiny,Celinami,Celinach,Celiny,Celiny,Celin,Celinom,Celiny,Celinami,Celinach,Celiny
154,Cezaria,f,s,Cezaria,Cezarii,Cezarii,Cezarię,Cezarią,Cezarii,Cezario,Cezaria,Cezarii,Cezarii,Cezarię,Cezarią,Cezarii,Cezario
155,Cezaria,f,pl,Cezarie,Cezarii,Cezariom,Cezarie,Cezariami,Cezariach,Cezarie,Cezarie,Cezarii,Cezariom,Cezarie,Cezariami,Cezariach,Cezarie
156,Cezaryna,f,s,Cezaryna,Cezaryny,Cezarynie,Cezarynę,Cezaryną,Cezarynie,Cezaryno,Cezaryna,Cezaryny,Cezarynie,Cezarynę,Cezaryną,Cezarynie,Cezaryno
157,Chwalisława,f,s,Chwalisława,Chwalisławy,Chwalisławie,Chwalisławę,Chwalisławą,Chwalisławie,Chwalisławo,Chwalisława,Chwalisławy,Chwalisławie,Chwalisławę,Chwalisławą,Chwalisławie,Chwalisławo
158,Ciechosława,f,s,Ciechosława,Ciechosławy,Ciechosławie,Ciechosławę,Ciechosławą,Ciechosławie,Ciechosławo,Ciechosława,Ciechosławy,Ciechosławie,Ciechosławę,Ciechosławą,Ciechosławie,Ciechosławo
