,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
190,Gracjana,f,pl,,,,,,,,,,,,,,
191,Greta,f,s,,,,,,,,,,,,,,
192,Greta,f,pl,,,,,,,,,,,,,,
193,Gryzelda,f,s,,,,,,,,,,,,,,
194,Gryzelda,f,pl,,,,,,,,,,,,,,
195,Grzymsława,f,s,,,,,,,,,,,,,,
196,Grzymsława,f,pl,,,,,,,,,,,,,,
197,Gustawa,f,s,,,,,,,,,,,,,,
198,Gustawa,f,pl,,,,,,,,,,,,,,
199,Gwidona,f,s,,,,,,,,,,,,,,
200,Gwidona,f,pl,,,,,,,,,,,,,,
201,Hadriana,f,s,,,,,,,,,,,,,,
202,Hadriana,f,pl,,,,,,,,,,,,,,
203,Henrieta,f,s,,,,,,,,,,,,,,
204,Henrieta,f,pl,,,,,,,,,,,,,,
205,Herma,f,s,,,,,,,,,,,,,,
206,Herma,f,pl,,,,,,,,,,,,,,
207,Hermana,f,s,,,,,,,,,,,,,,
208,Hermana,f,pl,,,,,,,,,,,,,,
209,Hermenegilda,f,s,,,,,,,,,,,,,,
210,Hermenegilda,f,pl,,,,,,,,,,,,,,
211,Hermina,f,s,,,,,,,,,,,,,,
212,Hermina,f,pl,,,,,,,,,,,,,,
213,Hildegarda,f,s,,,,,,,,,,,,,,
214,Hildegarda,f,pl,,,,,,,,,,,,,,
215,Hipolita,f,s,,,,,,,,,,,,,,
216,Hipolita,f,pl,,,,,,,,,,,,,,
217,Hortensja,f,s,,,,,,,,,,,,,,
218,Hortensja,f,pl,,,,,,,,,,,,,,
219,Huberta,f,s,,,,,,,,,,,,,,
220,Huberta,f,pl,,,,,,,,,,,,,,
221,Idalia,f,s,,,,,,,,,,,,,,
222,Idalia,f,pl,,,,,,,,,,,,,,
223,Idosława,f,s,,,,,,,,,,,,,,
224,Idosława,f,pl,,,,,,,,,,,,,,
225,Idzia,f,s,,,,,,,,,,,,,,
226,Idzia,f,pl,,,,,,,,,,,,,,
227,Idzisława,f,s,,,,,,,,,,,,,,
228,Idzisława,f,pl,,,,,,,,,,,,,,
229,Ildefonsa,f,s,,,,,,,,,,,,,,
230,Ildefonsa,f,pl,,,,,,,,,,,,,,
231,Ilga,f,s,,,,,,,,,,,,,,
232,Ilga,f,pl,,,,,,,,,,,,,,
233,Ilia,f,s,,,,,,,,,,,,,,
234,Ilia,f,pl,,,,,,,,,,,,,,
235,Iliana,f,s,,,,,,,,,,,,,,
236,Iliana,f,pl,,,,,,,,,,,,,,
237,Ilza,f,s,,,,,,,,,,,,,,
238,Ilza,f,pl,,,,,,,,,,,,,,
239,Ingryda,f,s,,,,,,,,,,,,,,
240,Ingryda,f,pl,,,,,,,,,,,,,,
241,Inka,f,s,,,,,,,,,,,,,,
242,Inka,f,pl,,,,,,,,,,,,,,
243,Ira,f,s,,,,,,,,,,,,,,
244,Ira,f,pl,,,,,,,,,,,,,,
245,Irina,f,s,,,,,,,,,,,,,,
246,Irina,f,pl,,,,,,,,,,,,,,
247,Iwa,f,s,,,,,,,,,,,,,,
248,Iwa,f,pl,,,,,,,,,,,,,,
249,Izabella,f,s,,,,,,,,,,,,,,
250,Izabella,f,pl,,,,,,,,,,,,,,
251,Izaura,f,s,,,,,,,,,,,,,,
252,Izaura,f,pl,,,,,,,,,,,,,,
253,Izolda,f,s,,,,,,,,,,,,,,
254,Izolda,f,pl,,,,,,,,,,,,,,
255,Izydora,f,s,,,,,,,,,,,,,,
256,Izydora,f,pl,,,,,,,,,,,,,,
257,Jana,f,s,,,,,,,,,,,,,,
258,Jana,f,pl,,,,,,,,,,,,,,
259,Jarmiła,f,s,,,,,,,,,,,,,,
260,Jarmiła,f,pl,,,,,,,,,,,,,,
261,Jaromira,f,s,,,,,,,,,,,,,,
262,Jaromira,f,pl,,,,,,,,,,,,,,
263,Jaromiła,f,s,,,,,,,,,,,,,,
264,Jaromiła,f,pl,,,,,,,,,,,,,,
265,Jarosława,f,s,,,,,,,,,,,,,,
266,Jarosława,f,pl,,,,,,,,,,,,,,
267,Jasława,f,s,,,,,,,,,,,,,,
268,Jasława,f,pl,,,,,,,,,,,,,,
269,Jaśmina,f,s,,,,,,,,,,,,,,
270,Jaśmina,f,pl,,,,,,,,,,,,,,
271,Joachima,f,s,,,,,,,,,,,,,,
272,Joachima,f,pl,,,,,,,,,,,,,,
273,Juliana,f,s,,,,,,,,,,,,,,
274,Juliana,f,pl,,,,,,,,,,,,,,
275,Julianda,f,s,,,,,,,,,,,,,,
276,Julianda,f,pl,,,,,,,,,,,,,,
277,Julianna,f,s,,,,,,,,,,,,,,
278,Julianna,f,pl,,,,,,,,,,,,,,
279,Julisława,f,s,,,,,,,,,,,,,,
280,Julisława,f,pl,,,,,,,,,,,,,,
281,Julita,f,s,,,,,,,,,,,,,,
282,Julita,f,pl,,,,,,,,,,,,,,
283,Juta,f,s,,,,,,,,,,,,,,
284,Juta,f,pl,,,,,,,,,,,,,,
285,Józefa,f,s,,,,,,,,,,,,,,
286,Józefa,f,pl,,,,,,,,,,,,,,
287,Kaja,f,s,,,,,,,,,,,,,,
288,Kaja,f,pl,,,,,,,,,,,,,,
289,Kama,f,s,,,,,,,,,,,,,,
290,Kama,f,pl,,,,,,,,,,,,,,
291,Kamira,f,s,,,,,,,,,,,,,,
292,Kamira,f,pl,,,,,,,,,,,,,,
293,Karima,f,s,,,,,,,,,,,,,,
294,Karima,f,pl,,,,,,,,,,,,,,
295,Karola,f,s,,,,,,,,,,,,,,
296,Karola,f,pl,,,,,,,,,,,,,,
297,Karyna,f,s,,,,,,,,,,,,,,
