name,sex,declination_json
Arleta,f,"{"nominativus": {"s": "Arleta", "pl": "Arlety"}, "genetivus": {"s": "Arlety", "pl": "Arlet"}, "dativus": {"s": "Arlecie", "pl": "Arletom"}, "accusativus": {"s": "Arletę", "pl": "Arlety"}, "instrumentalis": {"s": "Arletą", "pl": "Arletami"}, "locativus": {"s": "Arlecie", "pl": "Arletach"}, "vocativus": {"s": "Arleto", "pl": "Arlety"}}"
Atena,f,"{"nominativus": {"s": "Atena", "pl": null}, "genetivus": {"s": "Ateny", "pl": null}, "dativus": {"s": "Atenie", "pl": null}, "accusativus": {"s": "Atenę", "pl": null}, "instrumentalis": {"s": "Ateną", "pl": null}, "locativus": {"s": "Atenie", "pl": null}, "vocativus": {"s": "Ateno", "pl": null}}"
Augustyna,f,"{"nominativus": {"s": "Augustyna", "pl": "Augustyny"}, "genetivus": {"s": "Augustyny", "pl": "Augustyn"}, "dativus": {"s": "Augustynie", "pl": "Augustynom"}, "accusativus": {"s": "Augustynę", "pl": "Augustyny"}, "instrumentalis": {"s": "Augustyną", "pl": "Augustynami"}, "locativus": {"s": "Augustynie", "pl": "Augustynach"}, "vocativus": {"s": "Augustyno", "pl": "Augustyny"}}"
Aurelia,f,"{"nominativus": {"s": "Aurelia", "pl": "Aurelie"}, "genetivus": {"s": "Aurelii", "pl": "Aurelii"}, "dativus": {"s": "Aurelii", "pl": "Aureliom"}, "accusativus": {"s": "Aurelię", "pl": "Aurelie"}, "instrumentalis": {"s": "Aurelią", "pl": "Aureliami"}, "locativus": {"s": "Aurelii", "pl": "Aureliach"}, "vocativus": {"s": "Aurelio", "pl": "Aurelie"}}"
Balbina,f,"{"nominativus": {"s": "Balbina", "pl": "Balbiny"}, "genetivus": {"s": "Balbiny", "pl": "Balbin"}, "dativus": {"s": "Balbinie", "pl": "Balbinom"}, "accusativus": {"s": "Balbinę", "pl": "Balbiny"}, "instrumentalis": {"s": "Balbiną", "pl": "Balbinami"}, "locativus": {"s": "Balbinie", "pl": "Balbinach"}, "vocativus": {"s": "Balbino", "pl": "Balbiny"}}"
Barbara,f,"{"nominativus": {"s": "Barbara", "pl": "Barbary"}, "genetivus": {"s": "Barbary", "pl": "Barbar"}, "dativus": {"s": "Barbarze", "pl": "Barbarom"}, "accusativus": {"s": "Barbarę", "pl": "Barbary"}, "instrumentalis": {"s": "Barbarą", "pl": "Barbarami"}, "locativus": {"s": "Barbarze", "pl": "Barbarach"}, "vocativus": {"s": "Barbaro", "pl": "Barbary"}}"
Beata,f,"{"nominativus": {"s": "Beata", "pl": "Beaty"}, "genetivus": {"s": "Beaty", "pl": "Beat"}, "dativus": {"s": "Beacie", "pl": "Beatom"}, "accusativus": {"s": "Beatę", "pl": "Beaty"}, "instrumentalis": {"s": "Beatą", "pl": "Beatami"}, "locativus": {"s": "Beacie", "pl": "Beatach"}, "vocativus": {"s": "Beato", "pl": "Beaty"}}"
Beatrycze,f,"{"nominativus": {"s": "Beatrycze", "pl": "Beatrycze"}, "genetivus": {"s": "Beatrycze", "pl": "Beatrycze"}, "dativus": {"s": "Beatrycze", "pl": "Beatrycze"}, "accusativus": {"s": "Beatrycze", "pl": "Beatrycze"}, "instrumentalis": {"s": "Beatrycze", "pl": "Beatrycze"}, "locativus": {"s": "Beatrycze", "pl": "Beatrycze"}, "vocativus": {"s": "Beatrycze", "pl": "Beatrycze"}}"
Benigna,f,"{"nominativus": {"s": "Benigna", "pl": "Benigny"}, "genetivus": {"s": "Benigny", "pl": "Benign"}, "dativus": {"s": "Banignie", "pl": "Benignom"}, "accusativus": {"s": "Benignę", "pl": "Benigny"}, "instrumentalis": {"s": "Benigną", "pl": "Benignami"}, "locativus": {"s": "Benignie", "pl": "Benignach"}, "vocativus": {"s": "Benigno", "pl": "Benigny"}}"
Berenika,f,"{"nominativus": {"s": "Berenika", "pl": "Bereniki"}, "genetivus": {"s": "Bereniki", "pl": "Berenik"}, "dativus": {"s": "Berenice", "pl": "Berenikom"}, "accusativus": {"s": "Berenikę", "pl": "Bereniki"}, "instrumentalis": {"s": "Bereniką", "pl": "Berenikami"}, "locativus": {"s": "Berenice", "pl": "Berenikach"}, "vocativus": {"s": "Bereniko", "pl": "Bereniki"}}"
Bernadeta,f,"{"nominativus": {"s": "Bernadeta", "pl": "Bernadety"}, "genetivus": {"s": "Bernadety", "pl": "Bernadet"}, "dativus": {"s": "Bernadecie", "pl": "Bernadetom"}, "accusativus": {"s": "Bernadetę", "pl": "Bernadety"}, "instrumentalis": {"s": "Bernadetą", "pl": "Bernadetami"}, "locativus": {"s": "Bernadecie", "pl": "Bernadetach"}, "vocativus": {"s": "Bernadeto", "pl": "Bernadety"}}"
Bianka,f,"{"nominativus": {"s": "Bianka", "pl": "Bianki"}, "genetivus": {"s": "Bianki", "pl": "Bianek"}, "dativus": {"s": "Biance", "pl": "Biankom"}, "accusativus": {"s": "Biankę", "pl": "Bianki"}, "instrumentalis": {"s": "Bianką", "pl": "Biankami"}, "locativus": {"s": "Biance", "pl": "Biankach"}, "vocativus": {"s": "Bianko", "pl": "Bianki"}}"
